HALLMARK_Apoptosis,HALLMARK_Cholesterol_Homeostasis,HALLMARK_IL2_STAT5_Signalling,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_Signalling,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_GLYCOLYSIS,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2
PPP2R5B,,NOP2,,,NTHL1,MERTK,,NDUFA8,,,MSR1,NFKB2,PSMB2,
PPP3R1,,NRP1,,,ODC1,MET,,NDUFA9,,,MXD1,NFKBIA,PSMB3,
PPT1,,NT5E,,,OSTC,MIF,,NDUFAB1,,,MYC,NFKBIE,PSMC4,
PRF1,,ODC1,,,PCBD1,MIOX,,NDUFB1,,,NAMPT,NINJ1,PSMC6,
PSEN1,,P2RX4,,,PDHA1,MPI,,NDUFB2,,,NDP,NR4A1,PSMD1,
PSEN2,,P4HA1,,,PDHB,MXI1,,NDUFB3,,,NFKB1,NR4A2,PSMD14,
PTK2,,PDCD2L,,,PPARA,NANP,,NDUFB4,,,NFKBIA,NR4A3,PSMD3,
RARA,,PENK,,,PRDX6,NASP,,NDUFB5,,,NLRP3,OLR1,PSMD7,
RELA,,PHLDA1,,,PSME1,NDST3,,NDUFB6,,,NMI,PANX1,PSMD8,
RETSAT,,PHTF2,,,PTPRG,NDUFV3,,NDUFB7,,,NMUR1,PDE4B,PTGES3,
RHOB,,PIM1,,,PTS,NOL3,,NDUFB8,,,NOD2,PDLIM5,PWP1,
RHOT2,,PLAGL1,,,RAP1GDS1,NSDHL,,NDUFC1,,,NPFFR2,PER1,RACK1,
RNASEL,,PLEC,,,RDH11,NT5E,,NDUFC2,,,OLR1,PFKFB3,RAD23B,
ROCK1,,PLIN2,,,RDH16,P4HA1,,NDUFS1,,,OPRK1,PHLDA1,RAN,
SAT1,,PLPP1,,,REEP6,P4HA2,,NDUFS2,,,OSM,PHLDA2,RANBP1,
SATB1,,PLSCR1,,,RETSAT,PAM,,NDUFS3,,,OSMR,PLAU,RFC4,
SC5D,,PNP,,,S100A10,PAXIP1,,NDUFS4,,,P2RX4,PLAUR,RNPS1,
SLC20A1,,POU2F1,,,SDHA,PC,,NDUFS6,,,P2RX7,PLEK,RPL14,
SMAD7,,PRAF2,,,SDHC,PDK3,,NDUFS7,,,P2RY2,PLK2,RPL18,
SOD1,,PRKCH,,,SDHD,PFKFB1,,NDUFS8,,,PCDH7,PLPP3,RPL22,
SOD2,,PRNP,,,SERINC1,PFKP,,NDUFV1,,,PDE4B,PMEPA1,RPL34,
SPTAN1,,PTCH1,,,SLC22A5,PGAM1,,NDUFV2,,,PDPN,PNRC1,RPL6,
SQSTM1,,PTGER2,,,SMS,PGAM2,,NNT,,,PIK3R5,PPP1R15A,RPLP0,
TAP1,,PTH1R,,,SUCLA2,PGK1,,NQO2,,,PLAUR,PTGER4,RPS10,
TGFB2,,PTRH2,,,SUCLG1,PGLS,,OAT,,,PROK2,PTGS2,RPS2,
TGFBR3,,PUS1,,,SUCLG2,PGM2,,OGDH,,,PSEN1,PTPRE,RPS3,
TIMP1,,RABGAP1L,,,TDO2,PHKA2,,OPA1,,,PTAFR,PTX3,RPS5,
TIMP2,,RGS16,,,TP53INP2,PKM,,OXA1L,,,PTGER2,RCAN1,RPS6,
TIMP3,,RHOB,,,UBE2L6,PKP2,,PDHA1,,,PTGER4,REL,RRM1,
TNF,,RHOH,,,UGDH,PLOD1,,PDHB,,,PTGIR,RELA,RRP9,
TNFRSF12A,,RNH1,,,UROD,PLOD2,,PDHX,,,PTPRE,RELB,RSL1D1,
TNFSF10,,RORA,,,UROS,PMM2,,PDK4,,,PVR,RHOB,RUVBL2,
TOP2A,,RRAGD,,,VNN1,POLR3K,,PDP1,,,RAF1,RIPK2,SERBP1,
TSPO,,S100A1,,,XIST,PPFIA4,,PHB2,,,RASGRP1,RNF19B,SET,
TXNIP,,SCN9A,,,YWHAH,PPIA,,PHYH,,,RELA,SAT1,SF3A1,
VDAC2,,SELL,,,,PPP2CB,,PMPCA,,,RGS1,SDC4,SF3B3,
WEE1,,SELP,,,,PRPS1,,POLR2F,,,RGS16,SERPINB2,SLC25A3,
XIAP,,SERPINB6,,,,PSMC4,,POR,,,RHOG,SERPINB8,SMARCC1,
,,SERPINC1,,,,PYGB,,PRDX3,,,RIPK2,SERPINE1,SNRPA,
,,SH3BGRL2,,,,PYGL,,RETSAT,,,RNF144B,SGK1,SNRPA1,
,,SHE,,,,QSOX1,,RHOT1,,,ROS1,SIK1,SNRPB2,
,,SLC1A5,,,,RARS1,,RHOT2,,,RTP4,SLC16A6,SNRPD1,
,,SLC29A2,,,,RBCK1,,SDHA,,,SCARF1,SLC2A3,SNRPD2,
,,SLC2A3,,,,RPE,,SDHB,,,SCN1B,SLC2A6,SNRPD3,
,,SLC39A8,,,,RRAGD,,SDHC,,,SELE,SMAD3,SNRPG,
,,SMPDL3A,,,,SAP30,,SDHD,,,SELENOS,SNN,SRM,
,,SNX14,,,,SDC1,,SLC25A11,,,SELL,SOCS3,SRPK1,
,,SNX9,,,,SDC2,,SLC25A12,,,SEMA4D,SOD2,SRSF1,
,,SOCS1,,,,SDC3,,SLC25A20,,,SERPINE1,SPHK1,SRSF2,
,,SOCS2,,,,SDHC,,SLC25A3,,,SGMS2,SPSB1,SRSF3,
,,SPP1,,,,SLC16A3,,SLC25A4,,,SLAMF1,SQSTM1,SRSF7,
,,SPRED2,,,,SLC25A10,,SLC25A5,,,SLC11A2,STAT5A,SSB,
,,SPRY4,,,,SLC25A13,,SLC25A6,,,SLC1A2,TANK,SSBP1,
,,ST3GAL4,,,,SLC35A3,,SUCLA2,,,SLC28A2,TAP1,STARD7,
,,SWAP70,,,,SLC37A4,,SUCLG1,,,SLC31A1,TGIF1,SYNCRIP,
,,SYNGR2,,,,SOD1,,SUPV3L1,,,SLC31A2,TIPARP,TARDBP,
,,SYT11,,,,SOX9,,SURF1,,,SLC4A4,TLR2,TCP1,
,,TGM2,,,,SPAG4,,TCIRG1,,,SLC7A1,TNC,TFDP1,
,,TIAM1,,,,SRD5A3,,TIMM10,,,SLC7A2,TNF,TOMM70,
,,TLR7,,,,STC1,,TIMM13,,,SPHK1,TNFAIP2,TRA2B,
,,TNFRSF18,,,,STC2,,TIMM17A,,,SRI,TNFAIP3,TRIM28,
,,TNFRSF1B,,,,STMN1,,TIMM50,,,STAB1,TNFAIP6,TUFM,
,,TNFRSF21,,,,TALDO1,,TIMM8B,,,TACR1,TNFAIP8,TXNL4A,
,,TNFRSF4,,,,TFF3,,TIMM9,,,TACR3,TNFRSF9,TYMS,
,,TNFRSF8,,,,TGFA,,TOMM22,,,TAPBP,TNFSF9,U2AF1,
,,TNFRSF9,,,,TGFBI,,TOMM70,,,TIMP1,TNIP1,UBA2,
,,TNFSF10,,,,TKTL1,,UQCR10,,,TLR1,TNIP2,UBE2E1,
